[Coarse gain]	[Voltage kV]	[Gaussian mean]	[Gaussina FWHM]	[FWHM/mean]
100	1.420	66.79	16.3864	0.2453
100	1.470	91.16	18.0676	0.1982
100	1.523	127.96	21.3448	0.1668
100	1.572	174.19	28.7434	0.1650
100	1.1617	238.60	40.5796	0.1701
100	1.717	477.30	61.6045	0.1291
40	1.717	192.98	29.0255	0.1504
40	1.801	349.97	52.4936	0.1499
40	1.853	516.76	61.1506	0.1183
40	1.902	731.46	53.6400	0.0733
20	1.902	360.83	42.5626	0.11796
20	1.978	642.59	66.3092	0.10319
10	1.978	319.32	43.1146	0.12502
10	2.000	377.38	48.2358	0.1278
10	2.042	521.31	35.7034	0.06849
10	2.080	698.44	70.2356	0.10056
4	2.080	286.55	38.1263	0.13305
4	2.124	397.70	51.2106	0.128767
4	2.201	725.48	82.7750	0.114096
2	2.201	357.67	46.7698	0.13076
2	2.254	544.50	56.7600	0.104242
2	2.303	796.12	13.0455	0.01638

