Year,m,d,Time,Time zone,Pressure (msl) (hPa)
2018,10,31,00:00,UTC,1019
2018,10,31,00:10,UTC,1018.9
2018,10,31,00:20,UTC,1018.9
2018,10,31,00:30,UTC,1018.9
2018,10,31,00:40,UTC,1018.8
2018,10,31,00:50,UTC,1018.7
2018,10,31,01:00,UTC,1019.1
2018,10,31,01:10,UTC,1019
2018,10,31,01:20,UTC,1018.9
2018,10,31,01:30,UTC,1018.8
2018,10,31,01:40,UTC,1018.7
2018,10,31,01:50,UTC,1018.6
2018,10,31,02:00,UTC,1018.6
2018,10,31,02:10,UTC,1018.5
2018,10,31,02:20,UTC,1018.3
2018,10,31,02:30,UTC,1018
2018,10,31,02:40,UTC,1017.9
2018,10,31,02:50,UTC,1018.1
2018,10,31,03:00,UTC,1018.2
2018,10,31,03:10,UTC,1018
2018,10,31,03:20,UTC,1018
2018,10,31,03:30,UTC,1017.8
2018,10,31,03:40,UTC,1017.8
2018,10,31,03:50,UTC,1017.7
2018,10,31,04:00,UTC,1017.9
2018,10,31,04:10,UTC,1017.6
2018,10,31,04:20,UTC,1017.5
2018,10,31,04:30,UTC,1017.5
2018,10,31,04:40,UTC,1017.6
2018,10,31,04:50,UTC,1017.6
2018,10,31,05:00,UTC,1017.6
2018,10,31,05:10,UTC,1017.6
2018,10,31,05:20,UTC,1017.5
2018,10,31,05:30,UTC,1017.5
2018,10,31,05:40,UTC,1017.6
2018,10,31,05:50,UTC,1017.6
2018,10,31,06:00,UTC,1017.8
2018,10,31,06:10,UTC,1017.6
2018,10,31,06:20,UTC,1017.4
2018,10,31,06:30,UTC,1017
2018,10,31,06:40,UTC,1016.9
2018,10,31,06:50,UTC,1017.4
2018,10,31,07:00,UTC,1017.4
2018,10,31,07:10,UTC,1017.4
2018,10,31,07:20,UTC,1017.8
2018,10,31,07:30,UTC,1017.7
2018,10,31,07:40,UTC,1017.5
2018,10,31,07:50,UTC,1017.4
2018,10,31,08:00,UTC,1017.5
2018,10,31,08:10,UTC,1017.6
2018,10,31,08:20,UTC,1017.6
2018,10,31,08:30,UTC,1017.5
2018,10,31,08:40,UTC,1017.4
2018,10,31,08:50,UTC,1017.2
2018,10,31,09:00,UTC,1017.3
2018,10,31,09:10,UTC,1017.5
2018,10,31,09:20,UTC,1017.4
2018,10,31,09:30,UTC,1017.4
2018,10,31,09:40,UTC,1017.3
2018,10,31,09:50,UTC,1017.6
2018,10,31,10:00,UTC,1017.6
2018,10,31,10:10,UTC,1017.4
2018,10,31,10:20,UTC,1017.2
2018,10,31,10:30,UTC,1017.3
2018,10,31,10:40,UTC,1017.5
2018,10,31,10:50,UTC,1017.5
2018,10,31,11:00,UTC,1017.2
