Source-Voltage [V]    Capacitance 1 [F]    Dissipation 1     Capacitance 2 [F]    Dissipation 2     Capacitance 3 [F]    Dissipation 3     Capacitance 4 [F]    Dissipation 4     
-1.000000e+00         3.642050e-10         1.060620e+00      3.641440e-10         1.051650e+00      3.641100e-10         1.050440e+00      3.641260e-10         1.049970e+00      
-1.164286e+01         2.376130e-11         1.064840e-02      2.375360e-11         1.106180e-02      2.375750e-11         1.022430e-02      2.373500e-11         9.593380e-03      
-2.228571e+01         1.904890e-11         1.757840e-02      1.903690e-11         1.667920e-02      1.902280e-11         1.637900e-02      1.901610e-11         1.607430e-02      
-3.292857e+01         1.680560e-11         2.276880e-02      1.679600e-11         2.404030e-02      1.676940e-11         2.445820e-02      1.675870e-11         2.301630e-02      
-4.357143e+01         1.551960e-11         2.738810e-02      1.553980e-11         2.752550e-02      1.551870e-11         2.883290e-02      1.552170e-11         2.714720e-02      
-5.421429e+01         1.523040e-11         3.041550e-02      1.520300e-11         3.124220e-02      1.521850e-11         2.972440e-02      1.521090e-11         3.146350e-02      
-6.485714e+01         1.514680e-11         3.253630e-02      1.516270e-11         3.326140e-02      1.514630e-11         3.221120e-02      1.515190e-11         3.341880e-02      
-7.550000e+01         1.513970e-11         3.536120e-02      1.514400e-11         3.518960e-02      1.514730e-11         3.507630e-02      1.513640e-11         3.524400e-02      
-8.614286e+01         1.515420e-11         3.713950e-02      1.514260e-11         3.716650e-02      1.514220e-11         3.777730e-02      1.514720e-11         3.791490e-02      
-9.678571e+01         1.516350e-11         3.924070e-02      1.515560e-11         3.975860e-02      1.516630e-11         3.977600e-02      1.516530e-11         3.917260e-02      
-1.074286e+02         1.518220e-11         3.996800e-02      1.516410e-11         4.112700e-02      1.517820e-11         4.009340e-02      1.515800e-11         4.135610e-02      
-1.180714e+02         1.517680e-11         4.170500e-02      1.520910e-11         4.167590e-02      1.520500e-11         4.354330e-02      1.518100e-11         4.305380e-02      
-1.287143e+02         1.522250e-11         4.586370e-02      1.523000e-11         4.416860e-02      1.524500e-11         4.552780e-02      1.521670e-11         4.513650e-02      
-1.393571e+02         1.532260e-11         4.893260e-02      1.530740e-11         5.048830e-02      1.532050e-11         4.883120e-02      1.530380e-11         4.957990e-02      
-1.500000e+02         1.546330e-11         5.626520e-02      1.545020e-11         5.562960e-02      1.545230e-11         5.538090e-02      1.544260e-11         5.485980e-02      
