Source-Voltage [V]    Capacitance 1 [F]    Dissipation 1     Capacitance 2 [F]    Dissipation 2     Capacitance 3 [F]    Dissipation 3     Capacitance 4 [F]    Dissipation 4     
-1.000000e+00         3.941600e-12         3.651670e-03      3.940420e-12         1.826570e-03      3.931210e-12         2.130500e-03      3.934630e-12         4.717890e-03      
-1.164286e+01         3.936670e-12         4.392410e-03      3.947760e-12         3.411940e-03      3.923320e-12         1.831460e-03      3.951960e-12         1.499190e-03      
-2.228571e+01         3.953840e-12         -2.819020e-04      3.953160e-12         5.636310e-03      3.935080e-12         7.876390e-03      3.918010e-12         4.401880e-03      
-3.292857e+01         3.933040e-12         -9.349780e-04      3.932020e-12         -2.026690e-03      3.939090e-12         -2.375470e-03      3.935490e-12         -1.493260e-03      
-4.357143e+01         3.961090e-12         1.099370e-03      3.958910e-12         4.109160e-03      3.946710e-12         7.993760e-03      3.925450e-12         7.247930e-03      
-5.421429e+01         3.960480e-12         1.464780e-03      3.945580e-12         7.488500e-03      3.922330e-12         6.390390e-03      3.918570e-12         1.456750e-03      
-6.485714e+01         3.954130e-12         -9.890210e-04      3.954950e-12         -2.230800e-04      3.951780e-12         -5.540900e-04      3.943250e-12         -1.373080e-03      
-7.550000e+01         3.919830e-12         2.596590e-03      3.926200e-12         7.068040e-03      3.947920e-12         6.670130e-03      3.954980e-12         2.145870e-03      
-8.614286e+01         3.921410e-12         2.300360e-03      3.916420e-12         2.214280e-03      3.920900e-12         -4.084980e-04      3.931140e-12         -1.938980e-03      
-9.678571e+01         3.938420e-12         7.611560e-03      3.918380e-12         2.641980e-03      3.941730e-12         -3.054130e-04      3.937460e-12         6.528270e-03      
-1.074286e+02         3.948140e-12         1.320010e-03      3.931910e-12         2.797250e-03      3.938220e-12         3.856570e-03      3.936940e-12         4.440170e-03      
-1.180714e+02         3.941220e-12         2.105320e-03      3.934580e-12         2.457440e-03      3.935430e-12         3.201650e-03      3.937920e-12         2.465310e-03      
-1.287143e+02         3.943430e-12         3.082260e-03      3.934370e-12         3.708410e-03      3.934640e-12         3.067690e-03      3.935050e-12         3.112110e-03      
-1.393571e+02         3.943410e-12         3.463410e-03      3.938450e-12         3.232150e-03      3.937170e-12         2.856320e-03      3.932130e-12         3.119540e-03      
-1.500000e+02         3.943600e-12         1.908370e-03      3.936250e-12         1.876650e-03      3.930880e-12         4.691650e-03      3.943060e-12         4.148690e-03      
