Source-Voltage [V]    Pad Current 1 [A]    Total Current 1[A]    Pad Current 2 [A]    Total Current 2[A]    Pad Current 3 [A]    Total Current 3[A]    Pad Current 4 [A]    Total Current 4[A]    
-1.000000e+00         -1.589461e-09         -1.294027e-09          -1.587285e-09         -1.187603e-09          -1.588900e-09         -1.470293e-09          -1.590531e-09         -1.789312e-09          
-1.164286e+01         -5.298385e-09         -5.212254e-09          -5.337168e-09         -5.318553e-09          -5.335538e-09         -5.873890e-09          -5.339723e-09         -5.225895e-09          
-2.228571e+01         -7.707634e-09         -7.261676e-09          -7.701400e-09         -7.562508e-09          -7.702280e-09         -7.330687e-09          -7.708075e-09         -7.993735e-09          
-3.292857e+01         -9.631425e-09         -9.581932e-09          -9.634181e-09         -9.620915e-09          -9.634741e-09         -9.213603e-09          -9.632100e-09         -9.350640e-09          
-4.357143e+01         -1.114809e-08         -1.134414e-08          -1.117883e-08         -1.120602e-08          -1.116445e-08         -1.077439e-08          -1.117392e-08         -1.122186e-08          
-5.421429e+01         -1.218733e-08         -1.239927e-08          -1.214036e-08         -1.247192e-08          -1.206529e-08         -1.187482e-08          -1.206776e-08         -1.158949e-08          
-6.485714e+01         -1.284874e-08         -1.295547e-08          -1.284738e-08         -1.254967e-08          -1.281075e-08         -1.265329e-08          -1.281941e-08         -1.273945e-08          
-7.550000e+01         -1.352710e-08         -1.329499e-08          -1.355239e-08         -1.370098e-08          -1.352032e-08         -1.377585e-08          -1.356073e-08         -1.345369e-08          
-8.614286e+01         -1.443179e-08         -1.419960e-08          -1.445381e-08         -1.465429e-08          -1.442000e-08         -1.406521e-08          -1.441248e-08         -1.468443e-08          
-9.678571e+01         -1.556702e-08         -1.585250e-08          -1.559809e-08         -1.541028e-08          -1.557949e-08         -1.594558e-08          -1.557469e-08         -1.523749e-08          
-1.074286e+02         -1.753750e-08         -1.720541e-08          -1.755121e-08         -1.793486e-08          -1.745241e-08         -1.740919e-08          -1.744031e-08         -1.706356e-08          
-1.180714e+02         -2.107675e-08         -2.114234e-08          -2.085527e-08         -2.063950e-08          -2.072043e-08         -2.108166e-08          -2.031259e-08         -2.042612e-08          
-1.287143e+02         -2.696798e-08         -2.717507e-08          -2.655534e-08         -2.682082e-08          -2.594256e-08         -2.574978e-08          -2.542189e-08         -2.577562e-08          
-1.393571e+02         -3.413279e-08         -3.482988e-08          -3.316635e-08         -3.306462e-08          -3.155798e-08         -3.201102e-08          -3.068171e-08         -3.063352e-08          
-1.500000e+02         -4.035273e-08         -4.054095e-08          -3.859715e-08         -3.918622e-08          -3.717477e-08         -3.767715e-08          -3.599078e-08         -3.617524e-08          
